model,fold,row_type,outer_train_rows,outer_test_rows,target_threshold,train_positive_rate,test_positive_rate,best_inner_roc_auc,best_params,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,1,outer_fold,64800,32400,0.07058823529411765,0.5006481481481482,0.5023456790123457,0.640380434224095,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 10}",0.5913888888888889,0.5751695460620762,0.71387318751536,0.6370589686651863,0.6336411938406326
Random Forest,1,outer_fold,64800,32400,0.07058823529411765,0.5006481481481482,0.5023456790123457,0.6381068878796584,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""model__n_estimators"": 80, ""select__k"": ""all""}",0.5903703703703703,0.5705694418342416,0.7461292700909314,0.6466453674121405,0.6328182771618995
Logistic Regression,2,outer_fold,64800,32400,0.07053941908713693,0.5001697530864198,0.5045061728395062,0.636312944618557,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 10}",0.5977469135802469,0.5870239033359601,0.6835923161629757,0.6316384500155451,0.6414562901321463
Random Forest,2,outer_fold,64800,32400,0.07053941908713693,0.5001697530864198,0.5045061728395062,0.6354562730126014,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 50, ""model__n_estimators"": 80, ""select__k"": ""all""}",0.5998765432098765,0.5803860049439057,0.7469105591582038,0.6532020758653897,0.6399327762805183
Logistic Regression,3,outer_fold,64800,32400,0.0707070707070707,0.5006944444444444,0.4946913580246914,0.6377064227590173,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 10}",0.5929629629629629,0.5679555895865237,0.7404542051410032,0.6428339291517711,0.6398211952074342
Random Forest,3,outer_fold,64800,32400,0.0707070707070707,0.5006944444444444,0.4946913580246914,0.6395424059531437,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""model__n_estimators"": 80, ""select__k"": ""all""}",0.5915432098765432,0.566315389727523,0.7443224357374595,0.6432307111662264,0.6374159076825671
Logistic Regression,mean,mean,,,0.07061157502944176,0.5005041152263375,0.5005144032921811,0.6381332672005565,"{""model__C"": 0.1, ""model__penalty"": ""l1"", ""select__k"": 10}",0.5940329218106996,0.5767163463281867,0.7126399029397796,0.6371771159441675,0.6383062263934044
Logistic Regression,std,std,,,7.040513168017683e-05,0.00023718398937034357,0.00421092432724893,0.0016877529550153173,,0.002703667687403795,0.007861068231445648,0.023230143458742806,0.00457129867448816,0.003365539123926538
Random Forest,mean,mean,,,0.07061157502944176,0.5005041152263375,0.5005144032921811,0.6377018556151345,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 20, ""model__n_estimators"": 80, ""select__k"": ""all""}",0.5939300411522633,0.5724236121685568,0.7457874216621981,0.647692718147919,0.6367223203749949
Random Forest,std,std,,,7.040513168017683e-05,0.00023718398937034357,0.00421092432724893,0.0016925639236427044,,0.0042319855991963615,0.005892029297469901,0.0010838945125247331,0.004137610918048517,0.002945598065150267
